id_talent_req,id_company,nama_perusahaan,alamat_kantor,industri_sektor,nama_pic,no_whatsapp,nama_posisi,jenis_penempatan,headcount,bidang_studi_dibutuhkan,minimum_semester,deskripsi_requirement,working_arrangement,working_arrangement_detail,durasi,renumerasi,request_date,sumber_baris_form
TR017,C575,PT Solusi Karya,"Jl. Ronggowarsito No. 45, Surakarta",Energi & Pertambangan,Lestari Wijaya,081684979162,Data Analyst,Part-time,4,"Statistika, Manajemen",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 1.500.000/bulan,2023-04-24,Input Manual
TR018,C129,PT Esa Abadi,"Jl. Jend. Sudirman No. 193, Surabaya",Konsultan Manajemen,Amelia Anggara,085233410166,Business Analyst,Magang,2,"Statistika, Manajemen",5,"Menguasai analisis proses bisnis, SQL, visualisasi data, komunikasi yang baik.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",3 Bulan,Uang transport saja,2023-02-15,Google Form
TR019,C1135,CV Karya Gemilang,"Jl. Merdeka No. 166, Jakarta",Logistik & Supply Chain,Farah Permana,085331589016,Business Process Analyst,Magang,2,"Manajemen, Sistem Informasi",5,"Menguasai dasar-dasar business process analyst, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",6 Bulan,Rp 3.000.000/bulan,2023-05-05,Input Manual
TR020,C1139,CV Sentosa Solusi,"Jl. Kebon Jeruk No. 158, Jakarta",FMCG,Gilang Ramadhan,082202849760,HR Intern,Part-time,4,"Psikologi, Manajemen",7,"Memahami dasar HRM, recruitment process, administrasi kepegawaian.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",6 Bulan,Rp 2.000.000/bulan,2023-06-07,Google Form
TR021,C1239,CV Inti Perkasa,"Jl. Yos Sudarso No. 16, Malang",Otomotif,Salma Pangestu,085641783765,Mechanical Engineer Intern,Full-time,1,Teknik Mesin,6,"Menguasai AutoCAD/SolidWorks, material science dasar, manufaktur.",WFH,"Full WFH, jam kerja fleksibel",3 Bulan,Rp 4.000.000/bulan,2023-07-05,Input Manual
TR022,C965,PT Bina Digital,"Jl. Pandanaran No. 4, Surakarta",Logistik & Supply Chain,Qonita Nugraha,083865772842,IT Support,Magang,1,"Teknik Elektro, Sistem Informasi",4,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",6 Bulan,Rp 500.000/bulan,2023-05-14,Google Form
TR023,C654,PT Mandiri Karya,"Jl. MT Haryono No. 111, Tangerang",Media & Kreatif,Luthfi Suryadi,081572169666,Social Media Specialist,Part-time,1,"Manajemen, Ilmu Komunikasi",7,"Menguasai management social media, analytics, content planning.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 1.000.000/bulan,2023-06-24,Google Form
TR024,C861,PT Media Perkasa,"Jl. Mangga Dua No. 17, Bogor",Logistik & Supply Chain,Bella Wardani,081526958264,Supply Chain Analyst,Magang,1,"Teknik Industri, Sistem Informasi",6,"Menguasai supply chain management, Excel, analisis data operasional.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",6 Bulan,Uang transport saja,2023-03-03,WhatsApp
TR025,C1143,CV Sukses Cerdas,"Jl. Hasanuddin No. 144, Surakarta",Telekomunikasi,Krisna Kusuma,085231539839,IT Support,Magang,1,"Informatika, Pendidikan Teknik Informatika",5,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFH,"Full WFH, jam kerja fleksibel",3 Bulan,Non-Paid,2023-07-11,Google Form
TR026,C690,PT Esa Informatika,"Jl. Monginsidi No. 114, Jakarta",Travel & Hospitality,Galih Ningsih,082193289634,IT Support,Magang,2,"Pendidikan Teknik Informatika, Teknik Elektro",7,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Non-Paid,2023-04-06,Email
TR027,C074,CV Graha Cerdas,"Jl. Ahmad Yani No. 132, Bandung",Otomotif,Nadia Oktaviani,081623124329,Data Analyst,Magang,2,"Sistem Informasi, Ekonomi Pembangunan",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Rp 2.500.000/bulan,2023-02-03,Google Form
TR028,C804,CV Karya Mandiri,"Jl. Kuningan No. 86, Bandung",Properti & Konstruksi,Hana Oktaviani,085389437052,Accounting Staff,Magang,4,"Akuntansi, Manajemen",5,"Menguasai akuntansi dasar, software akuntansi (MYOB/Accurate), Excel.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 2.000.000/bulan,2023-04-19,WhatsApp
TR029,C1152,CV Mega Sentosa,"Jl. Slamet Riyadi No. 56, Surabaya",Agribisnis,Guntur Pratama,085645418403,Research Assistant,Magang,2,"Statistika, Farmasi",5,"Kemampuan riset akademik, analisis data kuantitatif/kualitatif, literatur review.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 2.000.000/bulan,2023-06-20,Google Form
TR030,C322,PT Nusa Terapan,"Jl. Dago No. 198, Jakarta",Keuangan & Perbankan,Candra Firdaus,081566372395,Compliance Officer Intern,Magang,3,"Ilmu Hukum, Akuntansi",5,"Menguasai dasar-dasar compliance officer intern, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full WFH, jam kerja fleksibel",3 Bulan,Non-Paid,2023-03-02,Input Manual
TR031,C771,PT Esa Digital,"Jl. Jend. Sudirman No. 162, Jakarta",Kesehatan & Farmasi,Hafiz Hartono,087773126881,Quality Control Staff,Full-time,1,"Agroteknologi, Teknik Mesin",4,"Memahami quality management system, ISO standards, inspeksi produk.",WFH,"Full WFH, jam kerja fleksibel",6 Bulan,Rp 4.500.000/bulan,2023-04-11,Google Form
TR032,C761,PT Digital Makmur,"Jl. Dago No. 148, Semarang",Asuransi,Candra Fitriani,081530817214,Customer Service Intern,Magang,1,"Psikologi, Ilmu Komunikasi",5,"Menguasai dasar-dasar customer service intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",3 Bulan,Uang transport saja,2023-07-03,Google Form
TR033,C686,CV Bakti Perkasa,"Jl. Hasanuddin No. 141, Bandung",Kesehatan & Farmasi,Gibran Ramadhan,085367657648,Data Analyst,Full-time,2,"Statistika, Informatika",4,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFH,"Full remote, standup meeting harian via Zoom",3 Bulan,Rp 4.500.000/bulan,2023-07-23,Google Form
TR034,C1185,CV Sinergi Utama,"Jl. Kebon Jeruk No. 20, Surakarta",Retail,Candra Rahmawati,082215550570,Store Supervisor Intern,Full-time,1,Manajemen,4,"Menguasai dasar-dasar store supervisor intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",4 Bulan,Rp 7.000.000/bulan,2023-04-26,Google Form
TR035,C1023,PT Jaya Makmur,"Jl. Braga No. 96, Bandung",Logistik & Supply Chain,Julia Hakim,082142339153,IT Support,Part-time,3,"Informatika, Pendidikan Teknik Informatika",4,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFH,WFH dengan weekly meeting online,4 Bulan,Rp 1.500.000/bulan,2023-05-04,Google Form
TR036,C937,PT Sejahtera Informatika,"Jl. Urip Sumoharjo No. 72, Malang",Konsultan Manajemen,Farel Ardiansyah,085690457927,HR Intern,Magang,2,"Psikologi, Manajemen",6,"Memahami dasar HRM, recruitment process, administrasi kepegawaian.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Non-Paid,2023-04-14,Google Form
TR037,C880,PT Solusi Global,"Jl. Urip Sumoharjo No. 103, Surabaya",Agribisnis,Muhammad Budiman,085391891179,Agricultural Engineer Intern,Magang,1,Agroteknologi,7,"Menguasai dasar-dasar agricultural engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Uang transport saja,2023-03-27,Google Form
TR038,C818,CV Esa Global,"Jl. Veteran No. 127, Jakarta",Logistik & Supply Chain,Ivan Maulana,085837484732,Supply Chain Analyst,Magang,2,"Teknik Industri, Sistem Informasi",6,"Menguasai supply chain management, Excel, analisis data operasional.",WFH,WFH dengan weekly meeting online,4 Bulan,Rp 750.000/bulan,2023-05-30,Google Form
TR039,C720,PT Sejahtera Kreatif,"Jl. Adi Sucipto No. 109, Jakarta",Keuangan & Perbankan,Oscar Utami,085335707139,Risk Analyst,Magang,1,"Statistika, Akuntansi",4,"Menguasai analisis risiko, statistik, Excel, Python/R untuk modeling.",WFH,"Full remote, standup meeting harian via Zoom",6 Bulan,Rp 750.000/bulan,2023-06-20,Email
TR040,C057,PT Bakti Analitika,"Jl. Brigjend Katamso No. 144, Surakarta",Pendidikan & EdTech,Galuh Putra,085774517123,Content Writer,Magang,3,"Ilmu Komunikasi, Sastra Inggris",7,"Kemampuan menulis konten yang baik, SEO writing, riset topik.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Rp 2.500.000/bulan,2023-06-26,Input Manual
TR041,C436,PT Inovasi Gemilang,"Jl. Mangga Dua No. 163, Malang",Asuransi,Hanif Prasetya,085386085767,Underwriting Intern,Magang,2,"Akuntansi, Manajemen",4,"Menguasai dasar-dasar underwriting intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Rp 1.000.000/bulan,2023-05-31,WhatsApp
TR042,C709,CV Inovasi Informatika,"Jl. Veteran No. 94, Jakarta",Properti & Konstruksi,Muhammad Cahyani,085272835129,Drafter,Magang,3,"Teknik Sipil, Teknik Mesin",4,"Menguasai dasar-dasar drafter, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",6 Bulan,Rp 2.000.000/bulan,2023-06-25,Google Form
TR043,C572,PT Techno Cerdas,"Jl. Pandanaran No. 92, Surabaya",Telekomunikasi,Dewi Ardiansyah,081662607870,Network Engineer Intern,Part-time,3,"Informatika, Teknik Elektro",4,"Menguasai dasar-dasar network engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 1.000.000/bulan,2023-07-04,Email
TR044,C296,PT Sentosa Mandiri,"Jl. Slamet Riyadi No. 162, Jakarta",Retail,Rafi Ardiansyah,085707778097,Visual Merchandiser Intern,Magang,2,Desain Komunikasi Visual,4,"Menguasai dasar-dasar visual merchandiser intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Rp 1.000.000/bulan,2023-04-02,Google Form
TR045,C339,PT Bangkit Informatika,"Jl. Dago No. 198, Semarang",Manufaktur,Farhan Ningsih,085831531363,IT Support,Magang,3,"Informatika, Pendidikan Teknik Informatika",5,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",6 Bulan,Uang transport saja,2023-03-03,Google Form
TR046,C893,PT Bangkit Global,"Jl. Kebon Jeruk No. 191, Surakarta",Logistik & Supply Chain,Luthfi Firmansyah,087796380097,Supply Chain Analyst,Part-time,3,"Sistem Informasi, Manajemen",5,"Menguasai supply chain management, Excel, analisis data operasional.",WFO,"WFO 5 hari, jam kerja fleksibel",6 Bulan,Rp 1.000.000/bulan,2023-05-26,Google Form
TR047,C241,PT Mandiri Global,"Jl. Kebon Jeruk No. 187, Jakarta",Asuransi,Nanda Adriansyah,081380635651,Data Analyst,Part-time,4,"Informatika, Manajemen",6,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",6 Bulan,Rp 1.500.000/bulan,2023-04-23,Google Form
TR048,C076,PT Media Informatika,"Jl. Ahmad Yani No. 200, Yogyakarta",Retail,Rafi Anggraeni,083867980793,Data Analyst,Part-time,3,"Statistika, Manajemen",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Rp 2.000.000/bulan,2023-07-02,Input Manual
TR049,C602,CV Cakra Media,"Jl. MT Haryono No. 110, Bandung",Kesehatan & Farmasi,Bayu Gunawan,083829732702,Quality Control Staff,Magang,3,"Farmasi, Agroteknologi",4,"Memahami quality management system, ISO standards, inspeksi produk.",Hybrid,"3 hari WFO, 2 hari WFH",6 Bulan,Non-Paid,2023-05-08,Google Form
TR050,C1456,CV Kreasi Karya,"Jl. Monginsidi No. 117, Yogyakarta",FMCG,Anisa Syahputra,087772381513,Marketing Intern,Magang,2,"Manajemen, Ilmu Komunikasi",7,"Memahami dasar marketing, riset pasar, presentasi, MS Office.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Rp 1.000.000/bulan,2023-03-16,Input Manual
TR051,C534,CV Karya Abadi,"Jl. Dago No. 34, Malang",Telekomunikasi,Lestari Wibowo,081365423567,Business Development Intern,Magang,4,"Ekonomi Pembangunan, Manajemen",4,"Menguasai dasar-dasar business development intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Uang transport saja,2023-04-15,Input Manual
TR052,C525,PT Sejahtera Inovasi,"Jl. Ir. Sutami No. 173, Surabaya",Energi & Pertambangan,Rizky Hidayat,081315950342,Environmental Analyst,Magang,3,"Agroteknologi, Teknik Sipil",7,"Menguasai dasar-dasar environmental analyst, komunikasi baik, mampu bekerja dalam tim.",Hybrid,WFO minimal 2 hari per minggu,3 Bulan,Rp 1.500.000/bulan,2023-04-16,Input Manual
TR053,C1242,PT Cakra Cerdas,"Jl. Mangga Dua No. 123, Malang",Retail,Farhan Prabowo,085609793442,Visual Merchandiser Intern,Part-time,1,Desain Komunikasi Visual,5,"Menguasai dasar-dasar visual merchandiser intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",6 Bulan,Rp 1.500.000/bulan,2023-02-25,Google Form
TR054,C485,PT Perkasa Indonesia,"Jl. Gatot Subroto No. 128, Jakarta",Energi & Pertambangan,Ahmad Ningsih,082288728739,HSE Intern,Magang,2,"Teknik Industri, Teknik Mesin",6,"Menguasai dasar-dasar hse intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",Tidak Terbatas,Uang transport saja,2023-03-07,Google Form
TR055,C1012,CV Bina Inovasi,"Jl. Dago No. 73, Yogyakarta",Pendidikan & EdTech,Galih Ramadhani,081310187803,Frontend Developer,Magang,2,"Sistem Informasi, Pendidikan Teknik Informatika",6,"Menguasai HTML/CSS/JavaScript, framework React/Vue.js, responsive design. Pengalaman dengan Git.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",3 Bulan,Non-Paid,2023-07-10,Google Form
TR056,C841,PT Perkasa Gemilang,"Jl. Veteran No. 194, Surakarta",Keuangan & Perbankan,Dinda Suryadi,081358482669,Accounting Staff,Magang,3,"Akuntansi, Manajemen",5,"Menguasai akuntansi dasar, software akuntansi (MYOB/Accurate), Excel.",WFO,"WFO 5 hari, jam kerja fleksibel",6 Bulan,Uang transport saja,2023-06-26,Input Manual
TR057,C902,PT Global Sejahtera,"Jl. Veteran No. 81, Surakarta",Logistik & Supply Chain,Prita Ramadhan,087842304120,Operations Intern,Magang,1,"Teknik Industri, Manajemen",5,"Menguasai dasar-dasar operations intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 500.000/bulan,2023-04-25,Input Manual
TR058,C635,PT Bumi Teknologi,"Jl. Dago No. 116, Surakarta",Energi & Pertambangan,Farah Ningsih,081543588418,Geologist Intern,Part-time,1,Teknik Sipil,5,"Menguasai dasar-dasar geologist intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 2.000.000/bulan,2023-04-18,Input Manual
TR059,C353,PT Makmur Utama,"Jl. Ronggowarsito No. 91, Tangerang",Agribisnis,Erlangga Wijaya,081344537288,Agricultural Engineer Intern,Part-time,1,Agroteknologi,5,"Menguasai dasar-dasar agricultural engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 1.000.000/bulan,2023-04-28,Google Form
TR060,C829,PT Andalas Kreatif,"Jl. Kuningan No. 196, Semarang",Telekomunikasi,Hasna Anggraeni,085295167933,NOC Technician,Magang,3,"Informatika, Teknik Elektro",6,"Menguasai dasar-dasar noc technician, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 1.000.000/bulan,2023-07-16,Google Form
TR061,C741,CV Sentosa Karya,"Jl. Slamet Riyadi No. 163, Jakarta",Travel & Hospitality,Ayu Setiawan,083815650329,Digital Marketing Intern,Full-time,1,"Desain Komunikasi Visual, Manajemen",6,"Menguasai social media management, Google Ads, SEO dasar, content creation.",WFH,"Full WFH, jam kerja fleksibel",3 Bulan,Rp 4.000.000/bulan,2023-07-29,Email
TR062,C190,CV Cakra Analitika,"Jl. Hasanuddin No. 115, Malang",Otomotif,Taufik Handayani,083862890233,Production Engineer Intern,Magang,3,"Teknik Industri, Teknik Mesin",7,"Menguasai dasar-dasar production engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 500.000/bulan,2023-02-26,Google Form
TR063,C515,PT Graha Bangsa,"Jl. Pahlawan No. 173, Surakarta",Pendidikan & EdTech,Taufik Suryadi,087723084810,Content Writer,Part-time,3,"Ilmu Komunikasi, Sastra Inggris",6,"Kemampuan menulis konten yang baik, SEO writing, riset topik.",WFH,"Full WFH, jam kerja fleksibel",3 Bulan,Rp 1.000.000/bulan,2023-03-14,Email
TR064,C1053,PT Solusi Bangsa,"Jl. Brigjend Katamso No. 116, Bogor",Asuransi,Vino Puspitasari,081505050133,Customer Service Intern,Magang,2,"Ilmu Komunikasi, Psikologi",5,"Menguasai dasar-dasar customer service intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,WFO minimal 2 hari per minggu,4 Bulan,Uang transport saja,2023-06-03,Google Form
TR065,C876,PT Makmur Abadi,"Jl. Thamrin No. 104, Depok",E-commerce,Sinta Hartono,087715846790,Content Writer,Magang,1,"Ilmu Komunikasi, Sastra Inggris",6,"Kemampuan menulis konten yang baik, SEO writing, riset topik.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",6 Bulan,Rp 500.000/bulan,2023-05-10,Google Form
TR066,C599,CV Solusi Nusantara,"Jl. Kuningan No. 27, Yogyakarta",Properti & Konstruksi,Isna Prasetya,082246077223,Project Coordinator Intern,Magang,2,"Teknik Sipil, Manajemen",7,"Menguasai dasar-dasar project coordinator intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Rp 1.500.000/bulan,2023-07-08,Email
TR067,C613,CV Andalas Karya,"Jl. Ronggowarsito No. 75, Bandung",Agribisnis,Satria Permana,083836085456,Research Assistant,Part-time,5,"Farmasi, Psikologi",4,"Kemampuan riset akademik, analisis data kuantitatif/kualitatif, literatur review.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",4 Bulan,Rp 1.000.000/bulan,2023-07-04,Google Form
TR068,C303,PT Esa Mandiri,"Jl. Kuningan No. 106, Yogyakarta",Properti & Konstruksi,Lestari Sari,085397484597,Marketing Staff,Magang,5,"Manajemen, Ilmu Komunikasi",5,"Menguasai dasar-dasar marketing staff, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Non-Paid,2023-04-27,Google Form
TR069,C1324,PT Solusi Bersama,"Jl. Ronggowarsito No. 192, Surabaya",Logistik & Supply Chain,Hendra Cahyono,085603720314,Operations Intern,Full-time,2,"Teknik Industri, Manajemen",6,"Menguasai dasar-dasar operations intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 4.000.000/bulan,2023-07-22,Google Form
TR070,C808,PT Sejahtera Bersama,"Jl. Yos Sudarso No. 120, Tangerang",Manufaktur,Qonita Budiman,085303946408,Production Planning Intern,Part-time,1,"Teknik Industri, Manajemen",6,"Menguasai dasar-dasar production planning intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",4 Bulan,Rp 1.000.000/bulan,2023-07-19,Google Form
TR071,C446,PT Daya Global,"Jl. Dago No. 136, Yogyakarta",Retail,Zahra Saputra,082173415148,Store Supervisor Intern,Magang,1,Manajemen,5,"Menguasai dasar-dasar store supervisor intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Rp 500.000/bulan,2023-07-17,Input Manual
TR072,C646,CV Mandiri Pratama,"Jl. Raya Pajajaran No. 100, Jakarta",Retail,Luthfi Sulistyo,087832181227,Marketing Intern,Magang,1,"Manajemen, Ilmu Komunikasi",5,"Memahami dasar marketing, riset pasar, presentasi, MS Office.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",6 Bulan,Rp 500.000/bulan,2023-03-27,Google Form
