id_company,company_name,company_type,industry_sector,kota,skala_perusahaan,pic_name,pic_phone,created_at
C019,PT Inovasi Utama,UMKM,Konsultan Manajemen,Surakarta,Nasional,Eka Fitriani,082180598262,2022-01-20
C020,PT Sentosa Pratama,BUMN,Keuangan & Perbankan,Malang,Nasional,Hafiz Hidayat,085886923226,2023-03-07
C021,PT Nusa Analitika,NGO,Asuransi,Surabaya,Multinasional,Kartika Fitriani,081360733754,2023-05-24
C022,CV Digital Media,Startup,Properti & Konstruksi,Jakarta,Nasional,Ika Pangestu,085801429401,2023-12-21
C023,PT Perkasa Pratama,UMKM,Properti & Konstruksi,Jakarta,Lokal,Nurul Safitri,082240608835,2022-08-25
C024,PT Karya Media,NGO,Properti & Konstruksi,Bandung,Lokal,Hasna Gunawan,085864823662,2023-09-08
C025,PT Sentosa Konsultan,BUMN,Telekomunikasi,Jakarta,Nasional,Intan Mahendra,087738721489,2024-05-30
C026,PT Techno Karya,Pemerintah,Manufaktur,Semarang,Lokal,Budi Nugroho,082279176936,2023-02-12
C027,PT Gemilang Sejahtera,Startup,Teknologi Informasi,Malang,Lokal,Olivia Utami,081587083172,2022-08-07
C028,PT Esa Konsultan,Corporate,Retail,Bandung,Nasional,Farhan Hartono,087743487347,2024-07-02
C029,PT Mandiri Sejahtera,Startup,Properti & Konstruksi,Malang,Lokal,Lina Firmansyah,085631665876,2023-04-19
C030,PT Kreasi Karya,Corporate,Teknologi Informasi,Malang,Nasional,Tika Ardiansyah,087868893734,2022-01-13
C031,PT Bangkit Digital,Corporate,Energi & Pertambangan,Semarang,Multinasional,Arif Febriani,085201627204,2024-12-29
C032,PT Bakti Kreatif,Corporate,Properti & Konstruksi,Semarang,Multinasional,Galuh Setiawan,087708053100,2024-05-13
C033,CV Sinergi Karya,Startup,Kesehatan & Farmasi,Jakarta,Lokal,Lina Kusuma,081552991241,2023-03-23
C034,PT Solusi Mandiri,Corporate,Energi & Pertambangan,Jakarta,Lokal,Aldi Nugraha,085791905865,2023-05-13
C035,PT Daya Systems,Startup,Asuransi,Surabaya,Nasional,Dani Utami,085684987769,2024-07-30
C036,PT Bakti Bangsa,Startup,E-commerce,Jakarta,Nasional,Bella Firdaus,081652735454,2024-02-16
C037,PT Jaya Konsultan,Startup,Pendidikan & EdTech,Surakarta,Lokal,Aldi Hartono,085377014363,2024-09-27
C038,PT Sukses Inovasi,Corporate,FMCG,Jakarta,Nasional,Tika Kusuma,082213518233,2024-07-18
C039,PT Jaya Analitika,Corporate,Otomotif,Bandung,Multinasional,Yoga Utami,085708240084,2023-08-30
C040,CV Bangkit Nusantara,BUMN,Telekomunikasi,Yogyakarta,Nasional,Lestari Wibowo,085771167190,2024-06-21
C041,CV Indo Terapan,Corporate,Telekomunikasi,Surakarta,Multinasional,Ilham Adriansyah,087877496499,2024-05-02
C042,PT Global Cerdas,Startup,Pendidikan & EdTech,Jakarta,Lokal,Kevin Pratama,087879740344,2022-12-22
C043,CV Inti Terapan,BUMN,Pendidikan & EdTech,Jakarta,Nasional,Rizky Firmansyah,081302499471,2023-04-06
C044,PT Sentosa Logistik,Corporate,Konsultan Manajemen,Yogyakarta,Lokal,Riska Prabowo,085240139904,2022-03-23
C045,PT Cipta Cerdas,UMKM,Agribisnis,Yogyakarta,Nasional,Dinda Firdaus,081375655125,2023-01-07
C046,PT Bangkit Mandiri,UMKM,Energi & Pertambangan,Surabaya,Nasional,Qonita Prabowo,081368087603,2022-06-30
C047,PT Sukses Global,UMKM,Retail,Semarang,Lokal,Lutfia Fitriani,087710932480,2023-08-13
C048,PT Cakra Data,Startup,Logistik & Supply Chain,Yogyakarta,Lokal,Mega Handayani,085767737826,2024-10-17
C049,CV Daya Analitika,BUMN,E-commerce,Jakarta,Nasional,Anisa Maulana,085704499727,2024-04-29
C050,PT Andalas Pratama,Startup,Travel & Hospitality,Jakarta,Lokal,Nanda Cahyono,082260576627,2023-01-22
C051,PT Prima Informatika,Pemerintah,Properti & Konstruksi,Malang,Multinasional,Krisna Anggara,081226217459,2024-06-20
C052,PT Techno Bangsa,Startup,Travel & Hospitality,Jakarta,Nasional,Pandu Cahyani,085343161172,2022-03-15
C053,PT Solusi Teknologi,Startup,Keuangan & Perbankan,Jakarta,Lokal,Sinta Ningsih,081522219693,2023-05-16
C054,PT Indo Sejahtera,Corporate,Konsultan Manajemen,Yogyakarta,Multinasional,Ika Pangestu,082117594647,2024-08-10
C055,PT Sinergi Sentosa,BUMN,Logistik & Supply Chain,Jakarta,Nasional,Lina Handoko,081264090974,2024-01-06
C056,CV Media Sejahtera,UMKM,Konsultan Manajemen,Semarang,Lokal,Guntur Cahyani,085304709521,2022-10-08
C057,PT Bakti Analitika,Corporate,Pendidikan & EdTech,Surakarta,Multinasional,Galuh Putra,085774517123,2024-12-23
C058,PT Sukses Data,BUMN,Teknologi Informasi,Jakarta,Nasional,Yuni Ningsih,085649651370,2022-09-11
C059,PT Bakti Global,Startup,E-commerce,Bandung,Nasional,Irfan Nugroho,081247113826,2024-04-16
C060,PT Sukses Media,NGO,Travel & Hospitality,Jakarta,Nasional,Farah Hidayat,081679640537,2022-11-13
C061,PT Bina Bangsa,Corporate,FMCG,Yogyakarta,Nasional,Maya Kurniawan,081671390053,2024-03-26
C062,CV Kreasi Data,BUMN,Travel & Hospitality,Jakarta,Nasional,Vino Nugraha,082190422842,2023-03-19
C063,PT Solusi Indonesia,Startup,Manufaktur,Bandung,Nasional,Farhan Gunawan,083811775891,2022-04-18
C064,PT Daya Sejahtera,NGO,Keuangan & Perbankan,Semarang,Multinasional,Intan Oktaviani,081207661771,2024-12-03
C065,CV Karya Indonesia,Startup,Travel & Hospitality,Semarang,Nasional,Gita Fitriani,081383673657,2024-07-18
C066,PT Cakra Analitika,Startup,Asuransi,Jakarta,Lokal,Fajar Setiawan,081361528098,2024-08-29
C067,PT Graha Media,Startup,FMCG,Malang,Lokal,Satria Anggraeni,085751983273,2024-05-16
C068,PT Media Bangsa,Corporate,Logistik & Supply Chain,Semarang,Multinasional,Bella Utami,085745502296,2022-02-23
C069,PT Indo Analitika,UMKM,Teknologi Informasi,Surakarta,Nasional,Vina Putra,085845991022,2024-05-09
C070,PT Mitra Media,Startup,Retail,Bandung,Nasional,Nisa Ardiansyah,083815614978,2024-04-28
C071,PT Cipta Sejahtera,Corporate,Keuangan & Perbankan,Surakarta,Multinasional,Gibran Kusuma,085751076226,2023-03-09
C072,PT Digital Informatika,Corporate,FMCG,Surakarta,Lokal,Eka Prabowo,085269664160,2022-02-08
C073,PT Bumi Terapan,NGO,Retail,Surabaya,Multinasional,Hesti Hidayat,082269681645,2022-06-30
C074,CV Graha Cerdas,Startup,Otomotif,Bandung,Lokal,Nadia Oktaviani,081623124329,2023-12-17
C075,CV Karya Solusi,Pemerintah,Agribisnis,Yogyakarta,Nasional,Isna Cahyani,085827177449,2024-07-08
C076,PT Media Informatika,Startup,Retail,Yogyakarta,Nasional,Rafi Anggraeni,083867980793,2022-06-07
C077,PT Andalas Informatika,Startup,Keuangan & Perbankan,Yogyakarta,Lokal,Januar Oktaviani,082103778892,2023-12-05
C078,PT Sukses Mandiri,Corporate,Properti & Konstruksi,Semarang,Multinasional,Vino Hidayat,083864492519,2023-11-17
C079,CV Media Mandiri,Pemerintah,Energi & Pertambangan,Surakarta,Nasional,Ratna Cahyono,085352816850,2022-06-23
C080,PT Sentosa Solusi,Pemerintah,Properti & Konstruksi,Bekasi,Nasional,Joko Santoso,085718880592,2023-04-09
C081,PT Abadi Indonesia,Startup,Media & Kreatif,Semarang,Nasional,Anggi Handoko,081573834735,2023-05-02
C082,PT Makmur Gemilang,UMKM,Energi & Pertambangan,Yogyakarta,Lokal,Erlangga Kusuma,081275818141,2023-02-13
C083,CV Jaya Gemilang,NGO,Kesehatan & Farmasi,Surabaya,Lokal,Lutfia Hakim,081260685361,2023-03-31
C084,PT Digital Utama,NGO,Properti & Konstruksi,Surabaya,Lokal,Lina Ramadhani,081577901043,2023-08-11
C085,CV Esa Perkasa,Startup,Telekomunikasi,Jakarta,Lokal,Eka Kurniawan,081679808932,2024-05-09
C086,PT Perkasa Digital,UMKM,Manufaktur,Bandung,Lokal,Eka Adriansyah,083888806706,2024-12-08
C087,PT Inti Analitika,Startup,E-commerce,Jakarta,Lokal,Indah Nugroho,085885277221,2022-08-01
C088,PT Cipta Mandiri,Startup,Pendidikan & EdTech,Malang,Nasional,Elsa Pangestu,087740345054,2024-11-21
C089,PT Sukses Perkasa,BUMN,Retail,Malang,Nasional,Lestari Firdaus,085675841616,2024-03-02
C090,PT Nusa Konsultan,Startup,Logistik & Supply Chain,Surakarta,Lokal,Winda Handayani,087827570596,2023-09-20
C091,PT Mitra Data,UMKM,Energi & Pertambangan,Jakarta,Lokal,Joko Anggraeni,085370213556,2022-11-24
C092,CV Makmur Pratama,Corporate,E-commerce,Bandung,Nasional,Hendra Saputra,085627868144,2023-07-25
C093,PT Kreasi Global,Startup,Agribisnis,Jakarta,Lokal,Guntur Handayani,087715518844,2024-07-14
C094,CV Nusa Terapan,Corporate,Manufaktur,Surakarta,Multinasional,Rendy Firdaus,081258957829,2022-10-12
C095,PT Karya Mandiri,Corporate,Agribisnis,Yogyakarta,Multinasional,Umar Oktaviani,081377852892,2022-06-01
C096,CV Perkasa Informatika,NGO,Keuangan & Perbankan,Surabaya,Nasional,Kevin Prabowo,085635841438,2023-09-15
C097,PT Prima Systems,Startup,Travel & Hospitality,Surakarta,Lokal,Hafiz Puspitasari,085695900109,2022-11-12
C098,PT Kreasi Cerdas,Corporate,Teknologi Informasi,Yogyakarta,Lokal,Putri Ningsih,087847102767,2023-09-11
C099,PT Kreasi Utama,UMKM,Properti & Konstruksi,Malang,Nasional,Gibran Ramadhan,083881537147,2024-03-27
C100,CV Indo Nusantara,Startup,Energi & Pertambangan,Malang,Lokal,Maya Ardiansyah,082178774701,2023-11-02
C101,PT Daya Gemilang,Pemerintah,Pendidikan & EdTech,Bandung,Lokal,Winda Oktaviani,085374801624,2023-07-31
C102,PT Gemilang Pratama,Startup,Keuangan & Perbankan,Bandung,Nasional,Mega Mahendra,081584991216,2022-05-31
C103,PT Graha Konsultan,NGO,Kesehatan & Farmasi,Surakarta,Nasional,Cahyo Nugroho,082157872982,2024-10-21
C104,PT Bakti Solusi,Corporate,Telekomunikasi,Bandung,Nasional,Kirana Saputra,085851694097,2024-09-30
C105,PT Digital Analitika,Startup,Agribisnis,Surakarta,Lokal,Bima Ningsih,082209130756,2024-02-18
C106,CV Cakra Logistik,Startup,Otomotif,Surabaya,Lokal,Krisna Sari,083857865278,2022-05-08
C107,PT Media Cerdas,BUMN,Konsultan Manajemen,Bandung,Nasional,Rizky Wardani,085734437575,2023-01-29
C108,PT Jaya Mandiri,Startup,Travel & Hospitality,Jakarta,Lokal,Satria Nugroho,085715747338,2023-12-08
C109,PT Jaya Indonesia,Startup,Manufaktur,Jakarta,Lokal,Surya Dewi,081216571208,2024-12-23
C110,CV Cakra Systems,NGO,Agribisnis,Yogyakarta,Lokal,Sari Oktaviani,081219380262,2023-08-12
C111,PT Gemilang Terapan,Corporate,Telekomunikasi,Malang,Multinasional,Sari Anggara,085388728743,2022-08-08
C112,PT Graha Solusi,UMKM,Konsultan Manajemen,Semarang,Nasional,Lukman Puspitasari,081666851612,2023-08-28
C113,CV Andalas Utama,NGO,Teknologi Informasi,Jakarta,Lokal,Tika Febriani,085690453017,2023-07-01
C114,PT Bumi Sentosa,UMKM,Telekomunikasi,Semarang,Lokal,Anggi Dewi,082227279568,2023-08-28
C115,CV Techno Informatika,Corporate,FMCG,Surakarta,Lokal,Nanda Pangestu,082125871397,2024-11-01
C116,PT Sejahtera Indonesia,Corporate,Retail,Yogyakarta,Nasional,Arif Kusuma,081603910651,2023-09-24
C117,PT Mitra Bersama,Startup,Agribisnis,Surakarta,Lokal,Nurul Cahyono,087766182512,2024-05-10
C118,PT Gemilang Informatika,Startup,Manufaktur,Surabaya,Lokal,Ika Wulandari,083868633752,2023-09-04
C119,PT Sinergi Bersama,UMKM,Logistik & Supply Chain,Surakarta,Lokal,Naufal Santoso,081390790306,2022-02-02
C120,PT Digital Konsultan,Startup,Keuangan & Perbankan,Surakarta,Lokal,Sinta Anggraeni,081553428364,2023-04-25
C121,PT Mitra Konsultan,NGO,Media & Kreatif,Bandung,Nasional,Wahyu Oktaviani,085368566246,2024-10-12
C122,CV Andalas Sejahtera,BUMN,Telekomunikasi,Malang,Nasional,Dewi Wardani,087868826343,2022-10-23
C123,PT Techno Gemilang,BUMN,E-commerce,Yogyakarta,Nasional,Rizky Cahyono,085399013983,2023-01-26
C124,PT Sentosa Digital,Startup,Pendidikan & EdTech,Depok,Nasional,Arif Wijaya,083854678544,2023-05-12
C125,PT Daya Bersama,Corporate,Logistik & Supply Chain,Surabaya,Nasional,Yoga Prabowo,087809320489,2023-10-18
C126,PT Cakra Mandiri,Startup,Properti & Konstruksi,Jakarta,Lokal,Qonita Ardiansyah,081677725228,2024-10-19
C127,PT Nusa Bersama,Corporate,Keuangan & Perbankan,Yogyakarta,Lokal,Bayu Ramadhani,081631203875,2022-04-10
C128,PT Andalas Media,Corporate,Teknologi Informasi,Yogyakarta,Lokal,Bella Maulana,081662118233,2023-07-17
C129,PT Esa Abadi,BUMN,Konsultan Manajemen,Surabaya,Nasional,Amelia Anggara,085233410166,2022-06-11
C130,PT Andalas Teknologi,UMKM,Media & Kreatif,Surakarta,Lokal,Guntur Adriansyah,081233974014,2023-11-10
C131,PT Cipta Solusi,NGO,Properti & Konstruksi,Surakarta,Lokal,Eka Budiman,082193968562,2022-10-23
C132,PT Daya Analitika,Pemerintah,Keuangan & Perbankan,Surakarta,Lokal,Winda Nugraha,085296504773,2022-06-05
C133,PT Abadi Perkasa,Startup,Energi & Pertambangan,Surakarta,Lokal,Fajar Permana,082162655110,2023-05-20
C134,PT Makmur Pratama,UMKM,Logistik & Supply Chain,Surakarta,Nasional,Gita Saputra,081358199560,2024-11-15
C135,PT Cakra Sentosa,UMKM,Travel & Hospitality,Tangerang,Lokal,Rangga Cahyono,082124447212,2024-12-03
C136,PT Jaya Perkasa,Startup,E-commerce,Jakarta,Lokal,Gilang Hidayat,082140659657,2024-10-12
C137,PT Perkasa Karya,BUMN,Kesehatan & Farmasi,Jakarta,Nasional,Ulfa Utami,087854793564,2023-02-16
C138,PT Sukses Nusantara,NGO,Pendidikan & EdTech,Bandung,Nasional,Mira Sari,087741672434,2022-02-25
C139,CV Perkasa Terapan,Corporate,Retail,Bogor,Nasional,Prita Nugroho,081558911352,2024-11-03
C140,PT Cipta Makmur,Pemerintah,Energi & Pertambangan,Depok,Nasional,Ahmad Hidayat,085738889937,2024-05-31
C141,PT Gemilang Cerdas,UMKM,Otomotif,Surakarta,Lokal,Satria Gunawan,081312545738,2024-09-15
C142,PT Media Inovasi,Startup,Retail,Jakarta,Lokal,Farah Hidayat,085323828258,2022-02-16
C143,PT Sejahtera Terapan,Corporate,Media & Kreatif,Surakarta,Nasional,Tiara Prasetya,087803341918,2023-02-09
C144,CV Sukses Utama,Startup,Logistik & Supply Chain,Jakarta,Lokal,Winda Cahyono,085269155792,2024-12-16
C145,PT Techno Media,Startup,Logistik & Supply Chain,Jakarta,Nasional,Bunga Anggraeni,082196627828,2022-10-17
C146,CV Bangkit Mandiri,Startup,Properti & Konstruksi,Surabaya,Lokal,Ivan Ramadhani,082268876767,2024-01-06
C147,PT Bumi Data,Corporate,Manufaktur,Jakarta,Multinasional,Ilham Anggara,085278819148,2023-08-15
C148,PT Kreasi Perkasa,Startup,Manufaktur,Jakarta,Lokal,Wulan Setiawan,087713395962,2024-07-10
C149,PT Prima Terapan,Startup,Pendidikan & EdTech,Surabaya,Nasional,Mira Handoko,085794812604,2022-12-11
C150,CV Prima Sejahtera,Startup,Properti & Konstruksi,Surabaya,Lokal,Julia Safitri,085346671168,2024-03-15
C151,PT Sukses Gemilang,Pemerintah,Properti & Konstruksi,Bandung,Multinasional,Dinda Rahmawati,085651863637,2022-07-10
C152,PT Bakti Karya,Startup,Travel & Hospitality,Bandung,Nasional,Cahyo Hidayat,085370127706,2023-12-05
C153,CV Prima Bersama,UMKM,Media & Kreatif,Malang,Lokal,Qonita Setiawan,085820643611,2022-07-11
C154,PT Kreasi Inovasi,Startup,Manufaktur,Yogyakarta,Lokal,Erlangga Prasetya,085627136111,2023-12-05
C155,PT Sukses Bersama,Startup,Energi & Pertambangan,Surabaya,Lokal,Eka Adriansyah,085209275326,2022-09-30
C156,PT Makmur Bangsa,Startup,Logistik & Supply Chain,Surakarta,Nasional,Ulfa Ramadhani,082241389994,2023-12-21
C157,PT Sentosa Kreatif,Corporate,Otomotif,Surakarta,Multinasional,Ivan Cahyono,081337918055,2022-04-22
C158,CV Abadi Bangsa,BUMN,Asuransi,Jakarta,Nasional,Tasya Santoso,081291043006,2022-12-20
C159,PT Mandiri Systems,UMKM,Asuransi,Jakarta,Lokal,Taufik Setiawan,083832856914,2023-07-23
C160,PT Bina Teknologi,Startup,Asuransi,Surakarta,Lokal,Hasna Sulistyo,085321020275,2022-04-23
C161,PT Esa Terapan,BUMN,Konsultan Manajemen,Surakarta,Nasional,Nadia Kurniawan,081505648149,2022-09-17
C162,PT Bangkit Gemilang,Corporate,Keuangan & Perbankan,Yogyakarta,Nasional,Guntur Safitri,085313800030,2023-06-07
C163,PT Sukses Sentosa,NGO,Media & Kreatif,Bekasi,Multinasional,Umar Wijaya,087854195180,2024-05-08
C164,CV Digital Terapan,Corporate,Keuangan & Perbankan,Bekasi,Multinasional,Tasya Budiman,085818705349,2024-08-10
C165,PT Bina Gemilang,Corporate,Agribisnis,Bogor,Nasional,Ahmad Gunawan,081238505064,2023-05-18
C166,PT Kreasi Informatika,Pemerintah,Asuransi,Yogyakarta,Lokal,Fitri Nugroho,082286571918,2022-10-19
C167,CV Gemilang Data,Corporate,Keuangan & Perbankan,Jakarta,Lokal,Devi Syahputra,085655743132,2023-06-19
C168,PT Global Indonesia,Startup,Retail,Yogyakarta,Nasional,Tika Anggara,085711249035,2023-03-02
C169,CV Techno Logistik,Startup,FMCG,Jakarta,Nasional,Budi Syahputra,081678831712,2023-06-17
C170,PT Inovasi Teknologi,BUMN,Manufaktur,Surakarta,Nasional,Ika Cahyani,085319941013,2024-03-31
C171,PT Prima Data,NGO,Properti & Konstruksi,Surakarta,Multinasional,Nanda Prasetya,081667066253,2022-04-14
C172,CV Jaya Abadi,Corporate,Kesehatan & Farmasi,Surakarta,Lokal,Bunga Wardani,087701462638,2023-08-28
C173,CV Solusi Sentosa,BUMN,FMCG,Yogyakarta,Nasional,Sinta Maulana,085864205930,2024-09-19
C174,PT Mitra Terapan,Pemerintah,Otomotif,Jakarta,Nasional,Galih Wijaya,085334803965,2023-04-22
C175,CV Nusa Sejahtera,Corporate,FMCG,Tangerang,Multinasional,Nanda Lestari,081678427010,2023-12-22
C176,CV Digital Informatika,Corporate,Properti & Konstruksi,Tangerang,Multinasional,Mira Utami,081550029218,2022-09-25
C177,PT Karya Pratama,UMKM,Energi & Pertambangan,Bandung,Nasional,Dwi Prasetya,081575289539,2022-10-07
C178,CV Abadi Mandiri,UMKM,Telekomunikasi,Surakarta,Lokal,Lukman Anggraeni,085893917251,2024-03-12
C179,CV Media Utama,Startup,E-commerce,Surabaya,Lokal,Ayu Kusuma,082231541006,2023-11-19
C180,PT Cakra Solusi,BUMN,Agribisnis,Malang,Nasional,Gita Hartono,081593271040,2023-12-21
C181,PT Inti Nusantara,Startup,Media & Kreatif,Malang,Lokal,Winda Puspitasari,087706296201,2022-07-10
C182,PT Kreasi Kreatif,Corporate,Travel & Hospitality,Semarang,Lokal,Putri Hidayat,081269872050,2023-07-31
C183,PT Techno Mandiri,BUMN,Agribisnis,Surakarta,Nasional,Kevin Cahyani,085717146774,2022-02-22
C184,PT Abadi Solusi,Corporate,Energi & Pertambangan,Jakarta,Lokal,Olivia Permana,085202115869,2024-08-10
C185,CV Mitra Karya,Corporate,Otomotif,Jakarta,Multinasional,Hanif Budiman,081360898992,2024-08-30
C186,PT Makmur Solusi,NGO,Media & Kreatif,Depok,Multinasional,Dani Setiawan,085363294511,2022-09-16
C187,PT Gemilang Konsultan,Startup,Konsultan Manajemen,Yogyakarta,Lokal,Hana Gunawan,082129991191,2022-01-26
C188,PT Media Bersama,Corporate,Energi & Pertambangan,Bandung,Nasional,Amelia Firmansyah,085296065307,2022-12-19
C189,PT Sukses Digital,Startup,Telekomunikasi,Jakarta,Lokal,Irfan Budiman,085675469137,2022-07-21
C190,CV Cakra Analitika,Corporate,Otomotif,Malang,Nasional,Taufik Handayani,083862890233,2022-11-22
C191,PT Mitra Pratama,UMKM,Konsultan Manajemen,Jakarta,Nasional,Pandu Ramadhan,087797279855,2022-09-11
C192,CV Inti Analitika,BUMN,E-commerce,Jakarta,Nasional,Kevin Safitri,081533334680,2024-03-02
C193,PT Andalas Indonesia,UMKM,Teknologi Informasi,Jakarta,Lokal,Dian Cahyono,081657437489,2023-09-18
C194,PT Global Digital,Corporate,FMCG,Yogyakarta,Lokal,Eka Suryadi,085754443283,2022-08-10
C195,PT Gemilang Media,Startup,Kesehatan & Farmasi,Semarang,Lokal,Bunga Syahputra,087809935387,2023-08-29
C196,PT Daya Mandiri,BUMN,Travel & Hospitality,Surakarta,Nasional,Indah Sulistyo,085782513534,2022-07-19
C197,PT Graha Pratama,Startup,Telekomunikasi,Yogyakarta,Lokal,Lutfia Lestari,083816846022,2022-05-26
C198,CV Graha Perkasa,Pemerintah,Retail,Surakarta,Multinasional,Ivan Suryadi,085325007432,2023-01-05
C199,PT Bumi Inovasi,BUMN,E-commerce,Surakarta,Nasional,Amelia Prasetya,087760083505,2024-06-07
C200,PT Sinergi Digital,UMKM,Manufaktur,Jakarta,Lokal,Galih Cahyono,083894210447,2023-10-02
C201,PT Esa Utama,Corporate,Kesehatan & Farmasi,Jakarta,Nasional,Aditya Syahputra,081233230982,2023-01-21
C202,PT Sukses Logistik,UMKM,Keuangan & Perbankan,Jakarta,Lokal,Prasetyo Wibowo,085310016761,2024-12-31
C203,PT Inti Inovasi,UMKM,Pendidikan & EdTech,Semarang,Lokal,Hasna Hidayat,085384992618,2023-09-09
C204,PT Mega Mandiri,Startup,Logistik & Supply Chain,Yogyakarta,Lokal,Wahyu Handayani,087842087375,2023-06-23
C205,CV Inovasi Digital,UMKM,Logistik & Supply Chain,Surabaya,Lokal,Ilham Maulana,081314374470,2022-11-02
C206,PT Nusa Bangsa,Startup,Telekomunikasi,Jakarta,Lokal,Galih Ardiansyah,081202255794,2024-05-22
C207,PT Sukses Karya,Startup,Logistik & Supply Chain,Jakarta,Lokal,Lina Hartono,081562120216,2023-07-11
C208,PT Andalas Terapan,Corporate,Retail,Surakarta,Multinasional,Erlangga Ningsih,081627716701,2024-01-05
C209,PT Bakti Digital,UMKM,Otomotif,Semarang,Lokal,Dani Rahmawati,085637562890,2023-11-24
C210,PT Bumi Informatika,BUMN,Agribisnis,Malang,Nasional,Ulfa Wijaya,085840838663,2022-06-03
C211,PT Sejahtera Gemilang,BUMN,Retail,Surakarta,Nasional,Ulfa Kurniawan,087701660880,2024-10-17
C212,PT Sentosa Bersama,Corporate,Pendidikan & EdTech,Bandung,Nasional,Dafa Anggara,085889975711,2022-04-22
C213,CV Inovasi Utama,Corporate,Telekomunikasi,Yogyakarta,Multinasional,Guntur Putra,087726149331,2022-08-06
C214,PT Kreasi Gemilang,BUMN,Pendidikan & EdTech,Semarang,Nasional,Citra Cahyani,081691779827,2022-08-09
C215,PT Esa Analitika,Startup,Asuransi,Surabaya,Lokal,Galih Cahyono,085399586693,2022-12-22
C216,PT Gemilang Utama,Pemerintah,Retail,Surabaya,Lokal,Galuh Fitriani,083858333945,2024-11-15
C217,CV Nusa Informatika,Corporate,Properti & Konstruksi,Semarang,Nasional,Lutfia Prasetya,081508106200,2024-05-04
C218,CV Jaya Cerdas,BUMN,Telekomunikasi,Semarang,Nasional,Aldi Handoko,082280571983,2022-10-27
C219,PT Abadi Sejahtera,Corporate,Telekomunikasi,Semarang,Multinasional,Bunga Ningsih,085880043973,2024-02-21
C220,PT Sinergi Cerdas,UMKM,Pendidikan & EdTech,Jakarta,Lokal,Farhan Maulana,081360648422,2023-01-18
C221,PT Inti Digital,Startup,Kesehatan & Farmasi,Surakarta,Lokal,Laila Safitri,083851583281,2022-04-15
C222,PT Bumi Perkasa,Corporate,Energi & Pertambangan,Surakarta,Multinasional,Vina Ramadhan,085739878015,2023-03-13
C223,PT Bina Bersama,UMKM,Manufaktur,Bekasi,Lokal,Anisa Kurniawan,087848408588,2023-10-20
C224,PT Bangkit Teknologi,Startup,Pendidikan & EdTech,Jakarta,Lokal,Surya Santoso,082236138612,2022-12-09
C225,PT Sejahtera Logistik,Startup,E-commerce,Surakarta,Nasional,Qori Gunawan,087876650618,2022-05-25
C226,PT Karya Cerdas,UMKM,Keuangan & Perbankan,Semarang,Lokal,Winda Setiawan,085776607283,2023-08-17
C227,CV Gemilang Terapan,BUMN,Travel & Hospitality,Jakarta,Nasional,Ika Wulandari,085350882100,2022-10-23
C228,CV Media Kreatif,Corporate,Otomotif,Surakarta,Multinasional,Hendra Utami,085390878141,2023-06-02
C229,PT Global Kreatif,UMKM,Agribisnis,Bekasi,Lokal,Anggi Santoso,082257759492,2022-07-24
C230,PT Sukses Terapan,Startup,Asuransi,Surakarta,Lokal,Galuh Ramadhan,082157775478,2024-06-12
