NIM,nama,program_studi,semester,hp,email_pribadi,email_kampus,bidang_minat,jenis_penempatan_diminati,bulan_masuk
20200087,Bagus Nugroho,Statistika,9,087835110967,bagus.nugroho@gmail.com,20200087@student.uns.ac.id,Sains,Magang,September 2020
20210088,Rangga Dewi,Pendidikan Teknik Informatika,6,081250417372,rangga.dewi@gmail.com,20210088@student.uns.ac.id,Teknologi,Part-time,September 2021
20200089,Indah Gunawan,Farmasi,8,081232381281,indah.gunawan@gmail.com,20200089@student.uns.ac.id,Sains,Full-time,September 2020
20210090,Wahyu Budiman,Desain Komunikasi Visual,7,081611275963,wahyu.budiman@gmail.com,20210090@student.uns.ac.id,Desain,Full-time,September 2021
20220091,Nurul Sari,Informatika,4,081308862306,nurul.sari@gmail.com,20220091@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20220092,Anisa Febriani,Teknik Sipil,5,083818036485,anisa.febriani@gmail.com,20220092@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20220093,Cahyo Ramadhani,Informatika,3,081370284616,cahyo.ramadhani@gmail.com,20220093@student.uns.ac.id,Teknologi,Magang,September 2022
20220094,Prita Mahendra,Ilmu Komunikasi,5,085297032043,prita.mahendra@gmail.com,20220094@student.uns.ac.id,Sosial,Magang,Agustus 2022
20220095,Qonita Sari,Statistika,4,085810046010,qonita.sari@gmail.com,20220095@student.uns.ac.id,Sains,Magang,Agustus 2022
20220096,Muhammad Kurniawan,Teknik Industri,4,082107223956,muhammad.kurniawan@gmail.com,20220096@student.uns.ac.id,Teknologi,Part-time,September 2022
20220097,Indah Rahmawati,Informatika,4,081598987877,indah.rahmawati@gmail.com,20220097@student.uns.ac.id,Teknologi,Part-time,Agustus 2022
20210098,Yuni Santoso,Sistem Informasi,6,082298189397,yuni.santoso@gmail.com,20210098@student.uns.ac.id,Teknologi,Magang,Agustus 2021
20220099,Cahyo Permana,Akuntansi,3,085755868173,cahyo.permana@gmail.com,20220099@student.uns.ac.id,Bisnis,Magang,September 2022
20210100,Ivan Febriani,Desain Komunikasi Visual,6,085315758593,ivan.febriani@gmail.com,20210100@student.uns.ac.id,Desain,Magang,Agustus 2021
20230101,Ilham Pangestu,Ilmu Komunikasi,2,085749339271,ilham.pangestu@gmail.com,20230101@student.uns.ac.id,Sosial,Magang,Agustus 2023
20220102,Qonita Saputra,Pendidikan Teknik Informatika,3,081220715378,qonita.saputra@gmail.com,20220102@student.uns.ac.id,Teknologi,Full-time,September 2022
20220103,Dimas Ningsih,Teknik Sipil,4,081535440789,dimas.ningsih@gmail.com,20220103@student.uns.ac.id,Teknologi,Part-time,September 2022
20220104,Intan Fitriani,Pendidikan Teknik Informatika,5,085621007204,intan.fitriani@gmail.com,20220104@student.uns.ac.id,Teknologi,Part-time,Agustus 2022
20190105,Laila Ardiansyah,Pendidikan Teknik Informatika,9,085675780410,laila.ardiansyah@gmail.com,20190105@student.uns.ac.id,Teknologi,Magang,September 2019
20230106,Ratna Prasetya,Manajemen,2,082162447049,ratna.prasetya@gmail.com,20230106@student.uns.ac.id,Bisnis,Full-time,September 2023
20220107,Fitri Kurniawan,Sastra Inggris,3,082232570443,fitri.kurniawan@gmail.com,20220107@student.uns.ac.id,Sosial,Part-time,September 2022
20220108,Gilang Wijaya,Sistem Informasi,4,085790304381,gilang.wijaya@gmail.com,20220108@student.uns.ac.id,Teknologi,Part-time,September 2022
20230109,Anggi Anggraeni,Farmasi,3,081692470481,anggi.anggraeni@gmail.com,20230109@student.uns.ac.id,Sains,Magang,Februari 2023
20200110,Dimas Setiawan,Akuntansi,8,085756518127,dimas.setiawan@gmail.com,20200110@student.uns.ac.id,Bisnis,Magang,Agustus 2020
20210111,Guntur Hartono,Informatika,5,085625674053,guntur.hartono@gmail.com,20210111@student.uns.ac.id,Teknologi,Magang,September 2021
20210112,Fitri Oktaviani,Desain Komunikasi Visual,5,085311902060,fitri.oktaviani@gmail.com,20210112@student.uns.ac.id,Desain,Magang,September 2021
20210113,Farhan Syahputra,Ilmu Komunikasi,5,082121442673,farhan.syahputra@gmail.com,20210113@student.uns.ac.id,Sosial,Magang,Agustus 2021
20220114,Elsa Lestari,Ekonomi Pembangunan,5,081661599944,elsa.lestari@gmail.com,20220114@student.uns.ac.id,Bisnis,Magang,September 2022
20220115,Anisa Fitriani,Informatika,4,087758268295,anisa.fitriani@gmail.com,20220115@student.uns.ac.id,Teknologi,Magang,Maret 2022
20200116,Rizky Puspitasari,Ekonomi Pembangunan,9,082223585935,rizky.puspitasari@gmail.com,20200116@student.uns.ac.id,Bisnis,Magang,Agustus 2020
20220117,Hafiz Sulistyo,Agroteknologi,4,081250750781,hafiz.sulistyo@gmail.com,20220117@student.uns.ac.id,Sains,Magang,Februari 2022
20220118,Devi Sari,Teknik Mesin,4,085677774449,devi.sari@gmail.com,20220118@student.uns.ac.id,Teknologi,Magang,Maret 2022
20210119,Cahyo Budiman,Manajemen,5,083882648627,cahyo.budiman@gmail.com,20210119@student.uns.ac.id,Bisnis,Magang,Agustus 2021
20210120,Devi Sari,Akuntansi,7,081646091210,devi.sari@gmail.com,20210120@student.uns.ac.id,Bisnis,Full-time,September 2021
20230121,Bella Anggara,Sistem Informasi,2,085260160993,bella.anggara@gmail.com,20230121@student.uns.ac.id,Teknologi,Part-time,September 2023
20200122,Intan Saputra,Manajemen,7,081517431603,intan.saputra@gmail.com,20200122@student.uns.ac.id,Bisnis,Magang,Agustus 2020
20200123,Teguh Dewi,Statistika,9,085398844278,teguh.dewi@gmail.com,20200123@student.uns.ac.id,Sains,Magang,September 2020
20220124,Rangga Wijaya,Manajemen,4,085645495957,rangga.wijaya@gmail.com,20220124@student.uns.ac.id,Bisnis,Part-time,September 2022
20220125,Lukman Mahendra,Statistika,5,081627183224,lukman.mahendra@gmail.com,20220125@student.uns.ac.id,Sains,Part-time,September 2022
20230126,Naufal Anggraeni,Pendidikan Teknik Informatika,2,081376404046,naufal.anggraeni@gmail.com,20230126@student.uns.ac.id,Teknologi,Magang,Februari 2023
20210127,Gita Setiawan,Sistem Informasi,6,081250228920,gita.setiawan@gmail.com,20210127@student.uns.ac.id,Teknologi,Full-time,Agustus 2021
20210128,Ika Cahyani,Teknik Elektro,6,087877423935,ika.cahyani@gmail.com,20210128@student.uns.ac.id,Teknologi,Magang,Agustus 2021
20220129,Gibran Dewi,Sastra Inggris,4,083839692151,gibran.dewi@gmail.com,20220129@student.uns.ac.id,Sosial,Part-time,Agustus 2022
20190130,Zaki Pratama,Akuntansi,9,085348696537,zaki.pratama@gmail.com,20190130@student.uns.ac.id,Bisnis,Full-time,Agustus 2019
20200131,Kirana Wijaya,Informatika,7,083831873095,kirana.wijaya@gmail.com,20200131@student.uns.ac.id,Teknologi,Part-time,Agustus 2020
20200132,Candra Dewi,Manajemen,7,082241485027,candra.dewi@gmail.com,20200132@student.uns.ac.id,Bisnis,Part-time,Agustus 2020
20220133,Winda Cahyani,Ilmu Hukum,5,085600907220,winda.cahyani@gmail.com,20220133@student.uns.ac.id,Sosial,Magang,Agustus 2022
20220134,Fitri Putra,Pendidikan Teknik Informatika,3,082295960233,fitri.putra@gmail.com,20220134@student.uns.ac.id,Teknologi,Magang,September 2022
20200135,Devi Puspitasari,Teknik Sipil,9,081375790323,devi.puspitasari@gmail.com,20200135@student.uns.ac.id,Teknologi,Full-time,September 2020
20190136,Rendy Prasetya,Farmasi,11,081224130078,rendy.prasetya@gmail.com,20190136@student.uns.ac.id,Sains,Magang,Agustus 2019
20220137,Laila Oktaviani,Teknik Mesin,5,083850959145,laila.oktaviani@gmail.com,20220137@student.uns.ac.id,Teknologi,Magang,September 2022
20190138,Lestari Wijaya,Manajemen,11,082186518142,lestari.wijaya@gmail.com,20190138@student.uns.ac.id,Bisnis,Magang,September 2019
20190139,Teguh Wardani,Teknik Industri,11,085646217643,teguh.wardani@gmail.com,20190139@student.uns.ac.id,Teknologi,Part-time,Agustus 2019
20230140,Dafa Safitri,Teknik Sipil,2,081278869858,dafa.safitri@gmail.com,20230140@student.uns.ac.id,Teknologi,Magang,September 2023
20210141,Anggi Santoso,Pendidikan Teknik Informatika,5,082164187939,anggi.santoso@gmail.com,20210141@student.uns.ac.id,Teknologi,Magang,September 2021
20210142,Nisa Anggara,Akuntansi,5,081616459824,nisa.anggara@gmail.com,20210142@student.uns.ac.id,Bisnis,Part-time,Maret 2021
20230143,Prita Pratama,Teknik Industri,2,082265187569,prita.pratama@gmail.com,20230143@student.uns.ac.id,Teknologi,Part-time,September 2023
20200144,Nurul Fitriani,Teknik Sipil,7,085627357125,nurul.fitriani@gmail.com,20200144@student.uns.ac.id,Teknologi,Part-time,Agustus 2020
20210145,Lestari Santoso,Sistem Informasi,5,083895915324,lestari.santoso@gmail.com,20210145@student.uns.ac.id,Teknologi,Magang,September 2021
20200146,Zahra Saputra,Informatika,9,085878369030,zahra.saputra@gmail.com,20200146@student.uns.ac.id,Teknologi,Full-time,Agustus 2020
20210147,Eka Wijaya,Ilmu Hukum,6,083856849977,eka.wijaya@gmail.com,20210147@student.uns.ac.id,Sosial,Magang,Agustus 2021
20230148,Farhan Firdaus,Sastra Inggris,2,087814337004,farhan.firdaus@gmail.com,20230148@student.uns.ac.id,Sosial,Magang,September 2023
20220149,Dwi Rahmawati,Akuntansi,4,083871638762,dwi.rahmawati@gmail.com,20220149@student.uns.ac.id,Bisnis,Magang,Maret 2022
20230150,Nurul Hartono,Statistika,2,085886618248,nurul.hartono@gmail.com,20230150@student.uns.ac.id,Sains,Magang,September 2023
20220151,Eka Permana,Sistem Informasi,5,085719887263,eka.permana@gmail.com,20220151@student.uns.ac.id,Teknologi,Part-time,Agustus 2022
20220152,Fajar Cahyani,Sistem Informasi,3,085200713204,fajar.cahyani@gmail.com,20220152@student.uns.ac.id,Teknologi,Magang,Agustus 2022
20220153,Tasya Hakim,Manajemen,4,087766045689,tasya.hakim@gmail.com,20220153@student.uns.ac.id,Bisnis,Magang,September 2022
20230154,Guntur Hidayat,Manajemen,3,087776576664,guntur.hidayat@gmail.com,20230154@student.uns.ac.id,Bisnis,Part-time,September 2023
20210155,Citra Wardani,Teknik Mesin,5,082196455217,citra.wardani@gmail.com,20210155@student.uns.ac.id,Teknologi,Part-time,September 2021
20210156,Sinta Puspitasari,Akuntansi,6,087754422061,sinta.puspitasari@gmail.com,20210156@student.uns.ac.id,Bisnis,Full-time,September 2021
20220157,Lina Nugroho,Manajemen,5,082286400672,lina.nugroho@gmail.com,20220157@student.uns.ac.id,Bisnis,Part-time,September 2022
20210158,Maya Febriani,Informatika,5,081231839330,maya.febriani@gmail.com,20210158@student.uns.ac.id,Teknologi,Magang,Agustus 2021
20230159,Hendra Maulana,Teknik Industri,2,085858755245,hendra.maulana@gmail.com,20230159@student.uns.ac.id,Teknologi,Magang,September 2023
20200160,Gita Suryadi,Informatika,7,085878351798,gita.suryadi@gmail.com,20200160@student.uns.ac.id,Teknologi,Full-time,September 2020
20200161,Mira Setiawan,Desain Komunikasi Visual,8,085263389586,mira.setiawan@gmail.com,20200161@student.uns.ac.id,Desain,Full-time,September 2020
20220162,Gilang Oktaviani,Akuntansi,3,085619991624,gilang.oktaviani@gmail.com,20220162@student.uns.ac.id,Bisnis,Full-time,September 2022
20230163,Dinda Hartono,Manajemen,2,085384268517,dinda.hartono@gmail.com,20230163@student.uns.ac.id,Bisnis,Part-time,September 2023
20230164,Maya Prasetya,Akuntansi,3,081227190952,maya.prasetya@gmail.com,20230164@student.uns.ac.id,Bisnis,Magang,Agustus 2023
20230165,Luthfi Rahmawati,Manajemen,2,081551904562,luthfi.rahmawati@gmail.com,20230165@student.uns.ac.id,Bisnis,Part-time,Februari 2023
20230166,Bunga Fitriani,Sistem Informasi,2,082239350824,bunga.fitriani@gmail.com,20230166@student.uns.ac.id,Teknologi,Magang,September 2023
20200167,Zaki Ramadhani,Teknik Elektro,9,081275598414,zaki.ramadhani@gmail.com,20200167@student.uns.ac.id,Teknologi,Magang,September 2020
20230168,Joko Handoko,Akuntansi,2,085750933280,joko.handoko@gmail.com,20230168@student.uns.ac.id,Bisnis,Magang,September 2023
20230169,Bella Ramadhani,Teknik Industri,2,085207718235,bella.ramadhani@gmail.com,20230169@student.uns.ac.id,Teknologi,Magang,Agustus 2023
20220170,Irfan Ardiansyah,Farmasi,4,085854761727,irfan.ardiansyah@gmail.com,20220170@student.uns.ac.id,Sains,Magang,Agustus 2022
20210171,Vino Prabowo,Teknik Elektro,5,087866153939,vino.prabowo@gmail.com,20210171@student.uns.ac.id,Teknologi,Magang,Agustus 2021
20220172,Prasetyo Permana,Sistem Informasi,5,085801343390,prasetyo.permana@gmail.com,20220172@student.uns.ac.id,Teknologi,Full-time,Agustus 2022
20210173,Anggi Sulistyo,Akuntansi,7,085777339129,anggi.sulistyo@gmail.com,20210173@student.uns.ac.id,Bisnis,Magang,September 2021
20230174,Oscar Mahendra,Agroteknologi,3,085893955714,oscar.mahendra@gmail.com,20230174@student.uns.ac.id,Sains,Full-time,Agustus 2023
20230175,Rendy Sulistyo,Informatika,3,085665910044,rendy.sulistyo@gmail.com,20230175@student.uns.ac.id,Teknologi,Magang,Agustus 2023
20200176,Lutfia Sari,Manajemen,8,085269142200,lutfia.sari@gmail.com,20200176@student.uns.ac.id,Bisnis,Part-time,Agustus 2020
20210177,Kevin Mahendra,Manajemen,7,081287857109,kevin.mahendra@gmail.com,20210177@student.uns.ac.id,Bisnis,Magang,Agustus 2021
20230178,Luthfi Ardiansyah,Teknik Mesin,2,085363258677,luthfi.ardiansyah@gmail.com,20230178@student.uns.ac.id,Teknologi,Full-time,Agustus 2023
20230179,Amelia Ramadhan,Ekonomi Pembangunan,2,085303446332,amelia.ramadhan@gmail.com,20230179@student.uns.ac.id,Bisnis,Full-time,September 2023
20220180,Wulan Oktaviani,Psikologi,5,081515463517,wulan.oktaviani@gmail.com,20220180@student.uns.ac.id,Sosial,Full-time,September 2022
20210181,Umar Ardiansyah,Informatika,7,085365959656,umar.ardiansyah@gmail.com,20210181@student.uns.ac.id,Teknologi,Magang,September 2021
20190182,Bagus Dewi,Manajemen,10,083842109222,bagus.dewi@gmail.com,20190182@student.uns.ac.id,Bisnis,Part-time,September 2019
20210183,Vina Hakim,Akuntansi,7,082137660414,vina.hakim@gmail.com,20210183@student.uns.ac.id,Bisnis,Magang,Agustus 2021
20200184,Tika Sari,Informatika,9,082272298210,tika.sari@gmail.com,20200184@student.uns.ac.id,Teknologi,Magang,Agustus 2020
20220185,Yoga Cahyani,Psikologi,4,082195014962,yoga.cahyani@gmail.com,20220185@student.uns.ac.id,Sosial,Part-time,Februari 2022
20220186,Gilang Prasetya,Desain Komunikasi Visual,5,081287834767,gilang.prasetya@gmail.com,20220186@student.uns.ac.id,Desain,Magang,September 2022
20220187,Dimas Mahendra,Akuntansi,4,087894836094,dimas.mahendra@gmail.com,20220187@student.uns.ac.id,Bisnis,Full-time,September 2022
